"filename", "language", "C++", "comment", "blank", "total"
"d:\nycu course\2025_spring\Data Structures and Object-oriented Programming\hw1\Hw_1_to_do_list\to_do_list\header\handle_input.h", "C++", 15, 0, 4, 19
"d:\nycu course\2025_spring\Data Structures and Object-oriented Programming\hw1\Hw_1_to_do_list\to_do_list\header\print_line.h", "C++", 17, 0, 5, 22
"d:\nycu course\2025_spring\Data Structures and Object-oriented Programming\hw1\Hw_1_to_do_list\to_do_list\src\handle_input.cpp", "C++", 195, 0, 25, 220
"d:\nycu course\2025_spring\Data Structures and Object-oriented Programming\hw1\Hw_1_to_do_list\to_do_list\src\main.cpp", "C++", -256, 231, 0, -25
"d:\nycu course\2025_spring\Data Structures and Object-oriented Programming\hw1\Hw_1_to_do_list\to_do_list\src\print_line.cpp", "C++", 71, 0, 12, 83
"d:\nycu course\2025_spring\Data Structures and Object-oriented Programming\hw1\Hw_1_to_do_list\to_do_list\src\to_do_list_cmd.cpp", "C++", -6, 0, 0, -6
"Total", "-", 36, 231, 46, 313
