"filename", "language", "C++", "comment", "blank", "total"
"d:\nycu course\2025_spring\Data Structures and Object-oriented Programming\hw1\Hw_1_to_do_list\to_do_list\header\to_do_list.h", "C++", -8, 0, -2, -10
"d:\nycu course\2025_spring\Data Structures and Object-oriented Programming\hw1\Hw_1_to_do_list\to_do_list\src\to_do_list.cpp", "C++", -64, 0, -23, -87
"d:\nycu course\2025_spring\Data Structures and Object-oriented Programming\hw1\Hw_1_to_do_list\to_do_list\src\to_do_list_cmd.cpp", "C++", 28, 0, 1, 29
"Total", "-", -44, 0, -24, -68
