"filename", "language", "C++", "comment", "blank", "total"
"d:\nycu course\2025_spring\Data Structures and Object-oriented Programming\hw1\Hw_1_to_do_list\to_do_list\src\main.cpp", "C++", 10, -5, -1, 4
"Total", "-", 10, -5, -1, 4
